Course Name,Course Description
Regulation of Competitive Strategies,"""Firms (whether they are brick and mortar or web-based) employ any number of strategies to enhance market share or generate sales. However, for many of those strategies, there is a regulatory component as to their implementation or execution. For example, with respect to pricing decision-making, there are various competition regulations, (e.g. price discrimination, below cost sales, resale price maintenance and/or MAP) at either the state, federal or global level that need to be followed in order to devise a compliant pricing strategy. This course will explore the propriety of at least ten (10) different competitive strategies (e.g. mergers,  distribution channels, patent fencing, exclusionary conduct, cooperative efforts with competitors, etc.). One week of the course will be devoted to criminal enforcement of these rules.  The content will be delivered through lecture, class discussion, case study, and weekly assignments ( there is no group work in the class).  In addition, there will be periodic \""pop up\"" discussions on current competition topics, (e.g. how does antitrust apply to \""Big Tech\""). Ten (10) percent of the final grade is determined by the weekly assignments, while a closed-book essay exam will determine the remainder of the final grade.  BL437 is the only course that serves to provide a regulatory and compliance  road-map for the competitive strategies discussed in other courses."""
Field Study,""""""
Independent Study,"""Students who have established superior records and who wish to study more in depth than what is provided in regular courses may register for independent study with a selected instructor. Permission of the instructor and the department is required."""
Independent Study,""""""
Business Law General Credit,"""Business Law General Credit"""
Business and Law of Venture Capital,"""The class will focus on venture capital and typical topics that a venture-backed start-up faces in organizing the company, getting funded, scaling its business, and providing liquidity to its investors and employees.  It will offer an overview of venture financing from the perspective of the entrepreneur and investors and cover current legal topics that anyone working in the industry should understand as a business person or lawyer working with start-ups."""
Competition Policy: Antitrust and Intellectual Property,"""Intellectual Property laws create exclusive rights to inventions, to expressive works, and to valuable \""know how,\"" and do so in an effort to induce inventors, writers, musicians, photographers, and so forth, to create and market their works. But, sometimes, holders of IP behave in anticompetitive ways, and use their IP to effectuate anticompetitive plans. When this happens, the Federal Trade Commission and the Department of Justice invoke antitrust laws to curb the anticompetitive behavior. Courts and commentators often disagree about which IP behavior comprises antitrust violations. We will survey some of the most common situations, including \""pay for delay,\"" patent pools, standard setting, division of markets, and price fixing."""
Private Equity Transactions,"""This course provides an overview of the private equity industry - its objectives, players and goals. We will follow the investment lifecycle from initial investment assessment to the acquisition and financing process to value creation to exit. We will discuss structuring transactions and key transaction terms, as well as critical governance matters. We will cover key topics that anyone working in the industry should understand as a business person or lawyer."""
Social Entrepreneurship,"""This course combines both theory and practice with an end goal of equipping lawyers and business-minded managers to create a positive social impact.  The course covers the key fundamentals of the social enterprise movement as well as substantive cutting-edge legal doctrine relevant to the sector.  Using the \""case study method\"" typically used in MBA classes, students will examine the challenges of starting, counseling, serving, assessing and funding social ventures through the eyes of the entrepreneur, investor, attorney, board member and community leader.  The course provides an overview of the emergence and definition of social entrepreneurship and will explore the intricacies of establishing mission/vision/values, legal structures for both profit and for non-profit social ventures, managing and sustaining growth and board governance.  This basic knowledge set will inform any student who seeks to advise, launch, and/or serving on the board of a social enterprise.  By engaging with these case studies, students also learn the basics of leadership and management decision-making."""
Information Privacy,"""On May 25, 2018 the General Data Protection Regulation (GDPR) goes into effect.  US Companies and lawmakers are wildly unprepared, relying on outdated enforcement mechanisms and vows of companies who flout data protection.  Global issues of surveillance and propaganda are daily news.  Widespread use of AI in decision-making, revenge porn and deepfakes are commonplace. States react quickly, passing legislation which mimics GDPR and lights a fire under technology companies to lobby for Federal legislation to provide a preemption cover.  How did we get here?  This course will examine the tension between opposing approaches to privacy; how these laws came into being and some of their disparate, intended and unintended consequences. We will have a guest speaker from a Silicon Valley technology company who will discuss how these laws are put into practice in building the technology of tomorrow. By the end of the class you will understand the contours of data privacy in Europe and the US and the factors that have gone into the recent surge of interest in US consumer privacy.  You will also have a greater understanding of how companies struggle with the technology they create; its impact on privacy and how they manage it."""
Intellectual Property Strategies and Implications for Companies,"""This course focuses on intellectual property issues faced by companies. Each class covers different aspects of intellectual property and the business implications for the company.  The topics will include the establishment of a patent program, intellectual-property licensing, intellectual-property issues during mergers and acquisitions, responding to patent infringement assertions, interactions with standard setting organizations, managing a trademark portfolio and protecting a brand, and managing patent litigation.  Where appropriate, the course provides interactive exercises that simulate scenarios commonly faced by companies.  Guest speakers are invited to provide the benefit of their perspectives and experiences on the various topics."""
"The Business, Law, and Technology of Space Commerce","""This course introduces the basics of the business, technology and law of space commerce.  We will review the key historical moments of space exploration, the science of space, and the government\u0027s role in promoting space exploration as these factors have influenced the development of the business and law of space commerce.  An deeper exploration of the U.S. law and regulatory frameworks, as well as international treaties, that have developed over the last half century around space exploration informs our understanding of the current space commerce environment.  We also consider the role of national security and the various U.S. agencies involved in space military and commercial activities and how the two are linked.  Upon completion of this course, students will have a strong grasp of the evolving business models for the industries of space commerce and the role and influence of law. These outcomes will be achieved through a variety of formats: readings and class discussions, guest speakers, a project presentation and a final paper."""
Assessing Emerging AI and Computational Technologies,""""""
Legal Design and Innovation,"""Legal Design and Innovation"""
Business Analytics I,"""\u003cB\u003eThis course was formerly known as DECS 430-A/DECS 430-B\u003c/B\u003e\u003cBR\u003e\r\nAnalytics is the discovery and communication of meaningful patterns in data.  This course will provide students with an analytics toolkit, reinforcing basic probability and statistics while throughout emphasizing the value and pitfalls of reasoning with data.  Applications will focus on connections among analytical tools, data, and business decision-making.\u003c/P\u003e"""
Business Analytics II,"""\u003cp\u003eThis sequel to DECS-430 extends the statistical techniques learned in that course to allow for the exploration of relationships between variables, primarily through multivariate regression. In addition to learning basic regression skills, including modeling and estimation, students will deepen their understanding of hypothesis testing and how to make inferences and predictions from data. Students will also learn new principles such as identification and robustness. The course has an intense focus on managerial relevant applications, cases and interpretations.\u003c/p\u003e"""
MBAi Business Analytics,"""DECISION ANALYSIS"""
Business Analytics,"""Analytics is the discovery and communication of meaningful patterns in data. This course begins by providing students with an analytics toolkit, reinforcing basic probability and statistics while emphasizing the value and pitfalls of reasoning with data. Then the course extends the statistical techniques to allow for the exploration of relations between variables, primarily through multivariate regression. In addition to learning basic regression skills, including modeling and estimation, students will deepen their understanding of hypothesis testing and how to make inferences and predictions from data. Students will also learn new principles such as identification and robustness. The course has an intense focus on  managerially relevant applications, cases, and interpretations, with an emphasis on connections among analytical tools, data, and business decision-making."""
Data Exploration,"""The ability to quickly and efficiently read, manipulate, and analyze large real-world datasets has become a basic business skill. In this course we use R to explore the basic elements of data management, exploration, and statistical analysis. Specific topics include data acquisition and cleaning; subsetting, filtering, summaries; long and wide formats; data normalization; multi-table operations; accessing SQL data; visualization; basic statistical analysis; the use of simulation in data analysis; machine learning; and reporting. We will emphasize the use of the R packages `dplyr` for data manipulation and `ggplot` for visualization. Classes will involve a blend of lecture and in-class problem solving. Grading will be based on individual homeworks and a final project, which can be done in a group.  No previous experience with R is assumed. With assent of the instructor, students may use their own data sets for the final project."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Independent Study,"""\u003cP\u003e\u003cB\u003eThis course counts toward the following majors: Decision Sciences\u003c/B\u003e\u003cP\u003eStudents who have established superior records and who wish to study more in depth than what is provided in regular courses may register for independent study with a selected instructor. Permission of the instructor and the department is required."""
Independent Study,""""""
Decision Sciences General Credit,"""Decision Sciences General Credit"""
Introduction to Software Development,"""This course is geared to provide technical literacy for non-programmers who will be founders, employees, or consultants to \""tech-enabled\"" organizations.  This is a survey-style course that is very hands-on - students will learn the essentials of coding by creating websites and basic software applications that manipulate data and work across today\u0027s platforms and devices.\r\n\r\nStudents will:\r\n\r\n* Build their own website and deploy it on a variety of platforms, including tablets and mobile devices, using modern web development tools and techniques\r\n* Achieve working proficiency with the web programming languages and related open-source technologies, using it to build simple web applications\r\n* Gain exposure to open-source business initiatives from Facebook, Google, and other major contributors to the languages and frameworks shaping modern software development\r\n* Learn to manipulate and consume data with SQL, open datasets, and APIs\r\n\r\nStudents should expect to spend 6-8 hours a week on coding projects and take-home exercises. There is no final exam. \r\n\r\nAll students must have a modern Mac or Windows computer for completing homework and in-class projects. Detailed instructions on setup will be provided prior to the first day of class."""
Entrepreneurial Selling,"""Selling is a life skill.  This course is designed as an adventure of discovery.  You will be tested, taught and transformed through a series of lectures, discussions and exercises that are designed to push you up and out of your comfort zone.  The biggest challenge to growing a successful entrepreneurial venture is selling. Entrepreneurs must build a strong sales pipeline to ensure profitable growth as they tackle other pressing issues like product development, staffing, infrastructure, and financing. In the Entrepreneurial Selling course, you will learn how to acquire and delight customers, use selling skills in different contexts, manage the entrepreneurial selling process, measure your success and use the key tools required for success in building a company. \r\n\r\nMy goal with this course is to make you as efficient and effective in selling as possible, so that when you are spending time selling, not a moment is wasted.  Why?  Because as an entrepreneur (and a human), the way you spend your time determines success and failure.  Period."""
New Venture Discovery,"""\u003cp\u003eNew Venture Discovery is designed to help students navigate the earliest stages of starting a new venture beginning with the identification of a problem in the market that is worth solving. The class teaches students tools and techniques to translate these problems into viable business concepts, with an emphasis on enabling an aspiring entrepreneur to get as far as possible, with as little as possible, as FAST as possible. \u003c/p\u003e\r\n\r\n\u003cp\u003eStudent teams begin the quarter with nothing more than a series of hypotheses about a new venture, then design and execute a series of in-market experiments that either validate these assumptions, or force them to iterate aspects of their business model in real time. The objective of the course to guide students toward the achievement of \""product-market fit\"" as a crucial first step in in the creation of a startup.  From here, students can evolve their businesses by enrolling in the \""Develop\"" and \""Launch\"" courses that serve as the continuation of the new ventures curriculum.\u003c/p\u003e\r\n\r\n\u003cp\u003eNew Venture Discovery course material ranges from customer discovery and design thinking, to rapid prototyping (of both offers and business models), bootstrapping methods and communicating/selling the vision for a new venture.  The course format is a blend of lecture, fieldwork, cross-team collaboration and ideation sessions, outside speakers and expert mentoring. \u003c/p\u003e\r\n \r\n\u003cp\u003e\u003cstrong\u003e**This course may not be dropped after the second week of the quarter**\u003c/strong\u003e\u003c/p\u003e"""
New Venture Development,"""\u003cp\u003e\u003cB\u003e**This course was formerly known as KIEI-464-0**\u003c/B\u003e\u003c/p\u003eNew Venture Development is the logical continuation of New Venture Discovery (ENTR 462). Students that have completed initial testing and market research and have determined that there appears to be a product-market fit for a customer base of a significant size, can apply to this course. This course is focused on testing and validating product-market fit, user interfaces and experience and advancing to the development of a refined MVP concept. There is an emphasis on using digital tools to test customer acquisition and messaging.\u003cBR\u003e\r\n\r\nTeams are not expected to have programmers at this point in time as the focus is on using a variety of free ware to test the product/service. A significant portion of the workload for this course will occur outside of the classroom. Students must be prepared to engage with potential customers and industry experts. Within the classroom, students will be encouraged to share learning experiences and help other student teams. The course work will be supplemented by guest speakers who are experts in specific industries as well as functional areas and a pool of alumni and local mentors who can assist in the development of their businesses.\u003cBR\u003e\r\n\r\nNew Venture Development will be offered in the winter and spring quarters. Upon the completion of New Venture Development, student teams and faculty will determine whether a team should move to New Venture Launch. Other courses that are beneficial to take in advance of this course are: MKTG 961: Entrepreneurial Tools for Digital Marketing and MORS 952: Building Innovation, Teams, and Cultures.\r\nAdmittance to New Venture Development is by application only.  \u003ca href=\""https://www.kellogg.northwestern.edu/serial/academics/course-information/experiential-learning-courses-labs.aspx#apply\""\u003e\u003cB\u003eThe application is available here.\u003c/B\u003e\u003c/a\u003e  If a student wants to by-pass ENTR 462, they must identify that they are well versed in the process of design thinking and have already conducted significant market research to validate their business concept."""
New Venture Launch,"""\u003cp\u003e\u003cB\u003e**This course was formerly known as KIEI-466**\u003c/B\u003e\u003c/p\u003eThis experiential course is targeted to students who have business concepts that have been tested to determine that there is a compelling product-market fit. New Venture Launch will focus on fine-tuning the business model, building out financial projections and preparing investor pitches. A significant portion of the workload for this course will occur outside of the classroom. Students must be prepared to test and validate their business model hypotheses by engaging with potential customers and industry experts. Within the classroom, students will be encouraged to share learning experiences and help other student teams. The course work will be supplemented by guest speakers who are experts in functional areas related to the business model canvas. In addition, students will have access to a pool of alumni and local mentors who can assist in the development of their businesses. \u003cBR\u003e\r\n\r\nStudent teams can be composed of students from other parts of the university, but at least one member of the team must be enrolled at Kellogg.\u003cBR\u003e\u003cB\u003eAcceptance into the course is by application only.  \u003ca href=\""https://www.kellogg.northwestern.edu/serial/academics/course-information/experiential-learning-courses-labs.aspx#apply\""\u003e\u003cB\u003eThe application is available here.\u003c/B\u003e\u003c/a\u003e  \r\n\u003cP\u003e If you are not currently registered for New Venture Development, ENTR 464-0 and you are interested in this class, please contact \u003ca href=\""mailto:entrepreneurship@kellogg.northwestern.edu\""\u003eentrepreneurship@kellogg.northwestern.edu\u003c/a\u003e\u003c/P\u003e\u003c/B\u003e"""
Launching and Leading Startups,"""Launching and Leading Startups is a broad, case-driven survey course that examines what it\u0027s like to be in the shoes of an entrepreneurial CEO. It is a highly collaborative course (active student participation is critical!) that explores some of the biggest and most challenging topics facing entrepreneurial CEOs, such as: reducing the risks that are inherent in starting a new business, determining go-to-market strategies to gain customer adoption, and managing and leading a new venture. The course targets not only entrepreneurs who want to start or buy their own businesses, but also entrepreneurially minded students who, in short order, will be seeking to work within scaling startups. The course is also beneficial for \""intrepreneurs\"" who will be innovating inside larger firms. In terms of course deliverables, Launching and Leading Startups requires students to answer questions on ten cases, six of which are pass-fail and four of which are graded."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Independent Study,"""Students who have established superior records and wish to study some significant phase of finance in more depth than is provided in regular courses may register for independent study with a selected instructor. Permission of the instructor and department are required."""
Independent Study,"""Independent Study"""
Corporate Innovation and New Ventures,"""\u003cp\u003eThe terms \""entrepreneurship\"" and \""innovation\"" often evoke images of a startup in a garage. But what about the game-changing innovation generated by large, established corporations? Now more than ever, large organizations are focusing on innovation as the key to their growth and prosperity.  In some instances, it is critical for their very survival. These companies are investing in systems and processes to accelerate the pace of innovation, but need their people to step up in order to win in a competitive marketplace.\u003c/p\u003e\r\n\r\n\u003cp\u003eThis course addresses the emerging practice of \""corporate entrepreneurship,\"" also called \""intrapreneurship,\"" broadly defined as the application of entrepreneurial capabilities to the development of new ventures within an existing firm.  In 2014 the course was redesigned with enhanced student-experience goals, that would 1) create a more experiential-learning ecosystem, taking students out of the classroom into the realities of the boardroom, 2) curate a unique curriculum through impactful sessions and connections with top executives from multi-national corporations, and 3) consider the entrepreneurial movement as an opportunity and tool to drive innovation and growth in and around large enterprises.\u003c/p\u003e\r\n\r\n\u003cp\u003eWith a unique focus on exploring and learning from real companies with real problems, classes provide highly immersive learning opportunities, putting students right in the middle of the innovation arms race.  By working directly with companies, students are able to roll up their sleeves and sample traditional and entrepreneurial innovation techniques from the perspective of impacting corporate strategy, market-facing initiatives, corporate venturing, startup partnering and new product development.\u003c/p\u003e\r\n\r\n\u003cp\u003eStudent teams work with a Sponsoring Partner for the quarter, and are tasked with the creation of innovative ideas around their growth challenge areas, which are presented to the class by the company\u0027s executives. Teams are further tasked with targeting, developing,  evaluating, vetting and refining their top idea through a concept development process, culminating in a final project deliverable and formal presentation to company\u0027s leadership team.  Previous KIEI-903 Sponsoring Partners have included McDonald\u0027s Corporation, United Healthcare and Procter \u0026 Gamble.\u003c/p\u003e\r\n\r\n\u003cp\u003eIn addition to the primary team project, students are also exposed to corporate and entrepreneurial innovation processes at a range of multi-national headquarter and corporate innovation center locations, startups, incubators and accelerators.  Many classes are held on site, at KIEI-903 Organization Partner locations, where students interact with management, through thematic discussions, debates and workshops, about the current market opportunities and growth challenges they are pursuing.  Organization Partners, where classes have been previously held include United Airlines, Whirlpool, PepsiCo, Accenture, Leo Burnett, Target, AKTA, TechNexus and1871.\u003c/p\u003e\r\n\r\n\u003cp\u003eAll readings will be included in the course pack. Current details and updates about the class experience can be reviewed \u003ca href=\""http://www.rebootpartners.com/teaching/kellogg-school\""\u003ehere\u003c/a\u003e.\u003c/p\u003e"""
Entrepreneurship Through Acquisition,"""There are many paths to entrepreneurship, and one of those paths is through the acquisition of an existing company. This course will highlight aspects of strategy, finance, organizational behavior, marketing and other business disciplines through the context of acquiring and owning a small business. The course will outline pathways to entrepreneurship through acquisition, including search fund, independent sponsor, or through a CEO-in-Training program at a PE firm or a family business. The end goal is ownership of a company in the near future.\r\n\r\nThe course is organized into sections that summarize the experience of entrepreneurs through distinct phases, including raising capital, the search process and deal structure. These classes augment existing FINC courses. Core focus points of the course include due diligence of a particular business, the post-closing transition process and how to create stakeholder value.\r\n\r\nThe course uses several case studies as well as guest speakers who have completed search funds and acquired companies, investors and search fund experts."""
Entrepreneurship and Market Creation in Emerging Markets,"""Only 7% of people in the world live on more than $50 a day.  This course is about learning the necessary entrepreneurial skills that will enable you create new markets that serve the remaining 93%, most of whom live in emerging economies.\r\n\r\nMore specifically, this course has five goals.\r\n\r\n1. To provide you with a lens that will help you see and assess the opportunities that exist in emerging economies.\r\n2. To equip you with the relevant tools and frameworks to help you tackle the challenges unique to building a successful venture in emerging economies.\r\n3. To walk you through the process, from start to finish, of developing an idea that can serve customers in emerging markets.\r\n4. To introduce you to seasoned entrepreneurs, investors, and stakeholders in emerging market startup ecosystems who will provide feedback on your idea at the end of the class.\r\n5. To practicalize your learning by having you work on a real market-creating project with real companies across emerging markets. This will help you develop your own entrepreneurial idea for emerging markets.\r\n\r\nIn emerging markets, cost is often seen as the primary barrier preventing customers from purchasing (or consuming) a product. This course will introduce other barriers especially in the context of emerging markets and will also provide a framework for how students can design business models that take into consideration these additional barriers.\r\n\r\nFrom the first session to the last, the focus of this course will be on applying the skills, lessons, and frameworks you learn to develop market-creating ideas so that, at the end of the course, you have the confidence to present a viable business proposal to prospective investors."""
Intellectual Property for Entrepreneurs,"""This course will teach what entrepreneurs need to know to secure and leverage the knowledge based assets of their business as intellectual property.  The course begins with a  survey of various intellectual property forms for inventions, original expressions, source identifiers/brands  and confidential information etc. Through group case study, in class discussion and lecture we explore the decisions to pursue registering intangibles (if needed) as patents, copyrights, trade marks, or securing same as  trade secrets or other forms of intellectual property.   Methods for leveraging  IP ownership to realize investment and or exit from the business are reviewed.  Case studies examine contemporary challenges in consumer durables, AI \u0026 food, finance, health care and other start up contexts. There is an individual, take home case study assignment that serves as a final exam. \u003cp\u003e MMM students interested in this course should speak with MMM administrators before registering, as some material may be duplicated in DSGN-460.\u003c/p\u003e"""
Commercializing Innovations,"""Success for new technology is driven by the ability of a business to create and capture value through innovation - from product innovation to business model innovation.\r\n\r\nThis experience-based course offers students a chance to put innovation to work by developing commercial opportunities for new, unique Northwestern University technologies, innovations and inventions. The course will be most beneficial to students with an interest in starting up a business, entrepreneurship, business design, business strategy consulting and commercialization. The objective of this course is to develop a business project (from business concept to business plan) to the point of potential commercial launch. It is open to all graduate, professional and post-graduate students from across the university.\r\n\r\nStudents will be placed on four-to-five member cross-disciplinary teams based on skills, experience and interest. The cross-discipline approach will enable students to develop and apply knowledge about innovation to better understand the challenges and opportunities posed by emerging technologies and markets. \r\n\r\nEach team will function as a business development team for potential businesses selected by the Northwestern INVO (Innovation and New Ventures Office). Students will identify their top three choices of projects from project descriptions provided prior to the first day of class, when team matching assignments will be made. Once matched, students will work to build a business development plan that will target commercialization. Teams will deliver their proposals to a panel of industry experts at the end of the term.   \r\n\r\nNote: This course may not be dropped after the first week of the quarter."""
Startup Branding,"""There is a big difference between managing an existing brand and launching a new brand. In \""Startup Branding,\"" you will learn how to turn ideas into brands, with a specific focus on the importance of early branding decisions in new ventures and brand design execution with limited resources. The course is structured around a multi-week assignment in which student teams will design a new brand for a new venture.  Course coverage includes brand strategy, brand design, the brand experience, launching the brand, and leading the brand. The course format is a blend of lecture, exercise, cross-team collaboration and ideation sessions, and guest speakers."""
Venture Lab - SF Immersion,"""\u003cp\u003eVenture Lab - SF Immersion is designed for students interested in pursuing a job in a venture capital firm or a growth-stage startup. We place students in an internship with a venture-related firm or a growth-stage startup in the San Francisco Bay Area.  All students will be required to complete 300 hours of work with the firm over the 10 weeks of the quarter. In addition to the work required by the firm for the internship, students will spend time visiting with local companies and firms while building out a network. We will place an emphasis on tapping into the Kellogg alumni community and assisting fellow classmates in navigating the unique business and venture culture of the Bay Area. The instructor will base students\u0027 grades on internship performance, networking activity, team participation, and an end of quarter retrospective.\u003c/p\u003e\r\n\r\n\u003cp\u003eThe course is only offered in the San Francisco Immersion Program and is required of all students who are selected into the Program. Placement at a firm or company will involve assistance from the career center, program manager, and faculty advisor.\u003c/p\u003e"""
